predicated,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct-RWPredictor_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct-RWPredictorRegression_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct-RWPrecisionPredictor_multiChanges_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source-RWPredictor_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source-RWPredictorRegression_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Source-RWPrecisionPredictor_multiChanges_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended-RWPredictor_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended-RWPredictorRegression_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended-RWPrecisionPredictor_multiChanges_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended2-RWPredictor_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended2-RWPredictorRegression_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T25-Change based selection-uw.star.rts.technique.ClassFirewall_Extended2-RWPrecisionPredictor_multiChanges_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement-RWPredictor_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement-RWPredictorRegression_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms),T11-Textual Differing-uw.star.rts.technique.TextualDifference_Statement-RWPrecisionPredictor_multiChanges_precision,PredicatedAnalysisCost(ms),T11-PrecisionPredictionCost(ms),T11-AnalysisCostPredictionCost(ms)
jtopas-v0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,1,0,1.0,0,1,0,1.0,0,1,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
jtopas-v1,0.31746031746031744,0,30,0,0.31746031746031744,0,30,0,0.9722222222222222,0,30,0,0.4,1098,5342,0,0.4,1098,5342,0,0.7000000000000001,1098,5342,0,0.31746031746031744,0,234,0,0.31746031746031744,0,234,0,0.9722222222222222,0,234,0,0.31746031746031744,0,28,0,0.31746031746031744,0,28,0,0.9722222222222222,0,28,0,0.2023041474654378,2351,2360,0,0.2023041474654378,2351,2360,0,0.019276668924904893,2351,2360,0
jtopas-v2,0.27692307692307694,0,34,0,0.27692307692307694,0,34,0,0.9871794871794872,0,34,0,0.3333333333333333,559,3936,0,0.3333333333333333,559,3936,0,0.7222222222222222,559,3936,0,0.27692307692307694,0,122,0,0.27692307692307694,0,122,0,0.9871794871794872,0,122,0,0.27692307692307694,0,37,0,0.27692307692307694,0,37,0,0.9871794871794872,0,37,0,0.1536376604850214,3476,3482,0,0.1536376604850214,3476,3482,0,0.017057265131444874,3476,3482,0
jtopas-v3,0.2937062937062937,0,42,0,0.2937062937062937,0,42,0,0.9871794871794872,0,42,0,0.3434343434343434,634,1852,0,0.3434343434343434,634,1852,0,0.41666666666666663,634,1852,0,0.2937062937062937,0,134,0,0.2937062937062937,0,134,0,0.9871794871794872,0,134,0,0.2937062937062937,0,46,0,0.2937062937062937,0,46,0,0.9871794871794872,0,46,0,0.17636363636363636,3935,3945,0,0.17636363636363636,3935,3945,0,0.010645304850912326,3935,3945,0
apache-ant-v0,1.0,0,1,0,1.0,0,1,0,1.0,0,1,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
apache-ant-v1,0.6365546218487395,0,860,0,0.6365546218487395,0,860,0,0.8163463405164045,0,860,0,0.7125220458553791,2458,4760,0,0.7125220458553791,2458,4760,0,0.7342592592592592,2458,4760,0,0.6365546218487395,0,1878,0,0.6365546218487395,0,1878,0,0.8163463405164045,0,1878,0,0.6365546218487395,0,941,0,0.6365546218487395,0,941,0,0.8163463405164045,0,941,0,0.2612244897959184,28128,28171,0,0.2612244897959184,28128,28171,0,0.03981782584217735,28128,28171,0
apache-ant-v2,0.42944576674600476,0,2282,0,0.42944576674600476,0,2282,0,0.7712730205672805,0,2282,0,0.4707998307236564,2695,5834,0,0.4707998307236564,2695,5834,0,0.6868939630903973,2695,5834,0,0.42944576674600476,0,3304,0,0.42944576674600476,0,3304,0,0.7712730205672805,0,3304,0,0.42944576674600476,0,2531,0,0.42944576674600476,0,2531,0,0.7712730205672805,0,2531,0,0.16025472689075632,67534,67592,0,0.16025472689075632,67534,67592,0,0.13310312088832182,67534,67592,0
apache-ant-v3,0.4308469308469308,0,4387,0,0.4308469308469308,0,4387,0,0.16474388555606828,0,4387,0,0.4965703086722195,5621,8749,0,0.4965703086722195,5621,8749,0,0.1474767270945615,5621,8749,0,0.4308469308469308,0,5493,0,0.4308469308469308,0,5493,0,0.16474388555606828,0,5493,0,0.4308469308469308,0,4508,0,0.4308469308469308,0,4508,0,0.16474388555606828,0,4508,0,0.12757125054621374,147847,147887,0,0.12757125054621374,147847,147887,0,0.019264547430968636,147847,147887,0
apache-ant-v4,0.4308469308469308,0,4529,0,0.4308469308469308,0,4529,0,0.9870276367738298,0,4529,0,0.4965703086722195,5569,11855,0,0.4965703086722195,5569,11855,0,0.9620284174424302,5569,11855,0,0.4308469308469308,0,5555,0,0.4308469308469308,0,5555,0,0.9870276367738298,0,5555,0,0.4308469308469308,0,4559,0,0.4308469308469308,0,4559,0,0.9870276367738298,0,4559,0,0.12782852900351852,150058,150575,0,0.12782852900351852,150058,150575,0,0.382594179918177,150058,150575,0
apache-ant-v5,0.41937150236762805,0,28392,0,0.41937150236762805,0,28392,0,0.5715369059656218,0,28392,0,0.4801804023818752,29394,36404,0,0.4801804023818752,29394,36404,0,0.46326893746822567,29394,36404,0,0.41937150236762805,0,21286,0,0.41937150236762805,0,21286,0,0.5715369059656218,0,21286,0,0.41937150236762805,0,19520,0,0.41937150236762805,0,19520,0,0.5715369059656218,0,19520,0,0.09206267809478728,597073,597902,0,0.09206267809478728,597073,597902,0,0.05038520211374001,597073,597902,0
apache-ant-v6,0.4105050839964633,0,19917,0,0.4105050839964633,0,19917,0,0.045513266421544275,0,19917,0,0.468953141928494,30444,41185,0,0.468953141928494,30444,41185,0,0.041880256805852785,30444,41185,0,0.4105050839964633,0,22018,0,0.4105050839964633,0,22018,0,0.045513266421544275,0,22018,0,0.4105050839964633,0,20066,0,0.4105050839964633,0,20066,0,0.045513266421544275,0,20066,0,0.09053851123954502,635553,635792,0,0.09053851123954502,635553,635792,0,0.0018452734033656214,635553,635792,0
apache-ant-v7,0.41110656296902715,0,20424,0,0.41110656296902715,0,20424,0,0.9890327042782333,0,20424,0,0.4708584842387659,26060,34238,0,0.4708584842387659,26060,34238,0,0.9399044443338476,26060,34238,0,0.41110656296902715,0,22637,0,0.41110656296902715,0,22637,0,0.9890327042782333,0,22637,0,0.41110656296902715,0,20371,0,0.41110656296902715,0,20371,0,0.9890327042782333,0,20371,0,0.09063730590419998,650464,651343,0,0.09063730590419998,650464,651343,0,0.19519424630530216,650464,651343,0
apache-ant-v8,0.24064046579330423,0,41472,0,0.24064046579330423,0,41472,0,0.18310034112734466,0,41472,0,0.2761931818181818,43132,49571,0,0.2761931818181818,43132,49571,0,0.08352758352758352,43132,49571,0,0.24064046579330423,0,44507,0,0.24064046579330423,0,44507,0,0.18310034112734466,0,44507,0,0.24064046579330423,0,41406,0,0.24064046579330423,0,41406,0,0.18310034112734466,0,41406,0,0.08881700795617582,1171762,1172247,0,0.08881700795617582,1171762,1172247,0,0.0031279509076153835,1171762,1172247,0
jakarta-jmeter-v0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0
