predicated,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,PredicatedAnalysisCost(ms),T25-PrecisionPredictionCost(ms),T25-AnalysisCostPredictionCost(ms)
jtopas-v0,0.31746031746031744,0,158,0
jtopas-v1,0.31746031746031744,0,-1,-1
jtopas-v2,0.31746031746031744,0,-1,-1
jtopas-v3,0.31746031746031744,0,-1,-1
apache-ant-v0,0.6365546218487395,0,1326,0
apache-ant-v1,0.6365546218487395,0,-1,-1
apache-ant-v2,0.6365546218487395,0,-1,-1
apache-ant-v3,0.6365546218487395,0,-1,-1
apache-ant-v4,0.6365546218487395,0,-1,-1
apache-ant-v5,0.6365546218487395,0,-1,-1
apache-ant-v6,0.6365546218487395,0,-1,-1
apache-ant-v7,0.6365546218487395,0,-1,-1
apache-ant-v8,0.6365546218487395,0,-1,-1
jakarta-jmeter-v0,0.10855263157894737,0,2708,0
jakarta-jmeter-v1,0.10855263157894737,0,-1,-1
jakarta-jmeter-v2,0.10855263157894737,0,-1,-1
jakarta-jmeter-v3,0.10855263157894737,0,-1,-1
jakarta-jmeter-v4,0.10855263157894737,0,-1,-1
jakarta-jmeter-v5,0.10855263157894737,0,-1,-1
apache-xml-security-v0,0.6641355140186916,0,833,0
apache-xml-security-v1,0.6641355140186916,0,-1,-1
apache-xml-security-v2,0.6641355140186916,0,-1,-1
apache-xml-security-v3,0.6641355140186916,0,-1,-1
